390,5.30E-07,1.89E-07,1.53E-05,,,
391,4.88E-07,2.79E-07,1.67E-05,,,
392,4.34E-07,3.62E-07,1.81E-05,,,
393,3.77E-07,4.23E-07,1.94E-05,,,
394,3.27E-07,4.65E-07,2.08E-05,,,
395,2.88E-07,4.85E-07,2.22E-05,,,
396,2.67E-07,4.87E-07,2.39E-05,,,
397,2.80E-07,4.78E-07,2.59E-05,,,
398,3.21E-07,4.54E-07,2.80E-05,,,
399,3.91E-07,4.30E-07,3.03E-05,,,
400,4.91E-07,4.19E-07,3.29E-05,,,
401,6.18E-07,4.34E-07,3.56E-05,,,
402,7.65E-07,4.85E-07,3.87E-05,,,
403,9.29E-07,5.66E-07,4.18E-05,,,
404,1.09E-06,6.63E-07,4.54E-05,,,
405,1.24E-06,7.65E-07,4.94E-05,,,
406,1.33E-06,8.49E-07,5.35E-05,,,
407,1.38E-06,9.18E-07,5.79E-05,,,
408,1.40E-06,9.82E-07,6.29E-05,,,
409,1.43E-06,1.07E-06,6.81E-05,,,
410,1.47E-06,1.19E-06,7.37E-05,,,
411,1.56E-06,1.38E-06,8.00E-05,,,
412,1.71E-06,1.63E-06,8.67E-05,,,
413,1.90E-06,1.91E-06,9.38E-05,,,
414,2.10E-06,2.19E-06,0.000101344,,,
415,2.30E-06,2.44E-06,0.000109226,,,
416,2.48E-06,2.66E-06,0.000117395,,,
417,2.63E-06,2.82E-06,0.000125905,,,
418,2.79E-06,2.96E-06,0.000134789,,,
419,2.94E-06,3.10E-06,0.000144058,,,
420,3.13E-06,3.27E-06,0.000153745,,,
421,3.35E-06,3.48E-06,0.000163849,,,
422,3.59E-06,3.74E-06,0.000174293,,,
423,3.85E-06,4.04E-06,0.000185,,,
424,4.11E-06,4.39E-06,0.000195889,,,
425,4.39E-06,4.79E-06,0.000206893,,,
426,4.66E-06,5.21E-06,0.000217685,,,
427,4.93E-06,5.63E-06,0.000228425,,,
428,5.18E-06,6.01E-06,0.000239024,,,
429,5.42E-06,6.32E-06,0.000249437,,,
430,5.64E-06,6.53E-06,0.000259581,,,
431,5.88E-06,6.71E-06,0.000270281,,,
432,6.11E-06,6.84E-06,0.000280617,,,
433,6.38E-06,7.05E-06,0.000290534,,,
434,6.65E-06,7.35E-06,0.000299952,,,
435,7.03E-06,7.73E-06,0.000308814,,,
436,7.39E-06,8.09E-06,0.000317481,,,
437,7.65E-06,8.55E-06,0.000325596,,,
438,7.81E-06,8.91E-06,0.000333142,,,
439,7.79E-06,9.09E-06,0.000340118,,,
440,7.68E-06,9.28E-06,0.000346473,,,
441,7.48E-06,9.48E-06,0.000352793,,,
442,7.39E-06,9.69E-06,0.000358414,,,
443,7.42E-06,9.92E-06,0.000363292,,,
444,7.56E-06,1.03E-05,0.00036738,,,
445,7.92E-06,1.06E-05,0.000370678,,,
446,8.20E-06,1.10E-05,0.000372936,,,
447,8.39E-06,1.14E-05,0.00037438,,,
448,8.50E-06,1.18E-05,0.000375021,,,
449,8.42E-06,1.21E-05,0.000374918,,,
450,8.34E-06,1.23E-05,0.00037417,,,
451,8.27E-06,1.27E-05,0.000372845,,,
452,8.30E-06,1.30E-05,0.000371096,,,
453,8.44E-06,1.33E-05,0.000368995,,,
454,8.57E-06,1.37E-05,0.000366459,,,
455,8.80E-06,1.41E-05,0.000363418,,,
456,8.73E-06,1.46E-05,0.000359621,,,
457,8.66E-06,1.52E-05,0.000355172,,,
458,8.38E-06,1.58E-05,0.000350127,,,
459,8.01E-06,1.65E-05,0.000344667,,,
460,7.85E-06,1.73E-05,0.000338955,,,
461,7.89E-06,1.81E-05,0.000332979,,,
462,8.25E-06,1.91E-05,0.000327015,,,
463,8.71E-06,2.00E-05,0.00032094,,,
464,9.38E-06,2.12E-05,0.000314633,,,
465,9.95E-06,2.25E-05,0.000307951,,,
466,1.05E-05,2.38E-05,0.000300801,,,
467,1.09E-05,2.53E-05,0.000293169,,,
468,1.11E-05,2.69E-05,0.000285154,,,
469,1.10E-05,2.86E-05,0.000276865,,,
470,1.08E-05,3.06E-05,0.000268404,,,
471,1.04E-05,3.27E-05,0.000260649,,,
472,9.83E-06,3.51E-05,0.000252727,,,
473,9.33E-06,3.75E-05,0.000244623,,,
474,8.72E-06,4.02E-05,0.000236315,,,
475,8.20E-06,4.30E-05,0.0002278,,,
476,7.76E-06,4.61E-05,0.000219507,,,
477,7.40E-06,4.94E-05,0.0002112,,,
478,7.05E-06,5.30E-05,0.000203053,,,
479,6.74E-06,5.69E-05,0.000195197,,,
480,6.43E-06,6.11E-05,0.00018772,,,
481,6.16E-06,6.54E-05,0.000180191,,,
482,5.94E-06,7.01E-05,0.00017296,,,
483,5.84E-06,7.48E-05,0.000165991,,,
484,5.86E-06,7.98E-05,0.000159226,,,
485,6.02E-06,8.49E-05,0.000152697,,,
486,6.29E-06,9.01E-05,0.000145932,,,
487,6.70E-06,9.56E-05,0.00013956,,,
488,7.23E-06,0.00010153,0.000133627,,,
489,7.86E-06,0.000107857,0.000128102,,,
490,8.51E-06,0.00011453,0.000122909,,,
491,9.25E-06,0.000121285,0.000117782,,,
492,9.77E-06,0.000128178,0.000112791,,,
493,1.03E-05,0.00013515,0.000107875,,,
494,1.06E-05,0.000142201,0.000103054,,,
495,1.07E-05,0.000149342,0.000098361,,,
496,1.08E-05,0.000156605,9.39E-05,,,
497,1.07E-05,0.000163994,8.95E-05,,,
498,1.05E-05,0.000171453,8.55E-05,,,
499,1.00E-05,0.000178889,8.15E-05,,,
500,9.47E-06,0.00018622,7.77E-05,,,
501,8.75E-06,0.000193859,7.42E-05,,,
502,7.94E-06,0.000201301,7.06E-05,,,
503,7.23E-06,0.000208582,6.72E-05,,,
504,6.69E-06,0.000215759,6.40E-05,,,
505,6.58E-06,0.000222863,6.09E-05,,,
506,6.99E-06,0.000230091,5.81E-05,,,
507,7.94E-06,0.000237223,5.53E-05,,,
508,9.09E-06,0.000244206,5.27E-05,,,
509,1.05E-05,0.000250956,5.02E-05,,,
510,1.19E-05,0.000257417,4.79E-05,,,
511,1.32E-05,0.000263429,4.55E-05,,,
512,1.43E-05,0.00026922,4.34E-05,,,
513,1.49E-05,0.000274829,4.13E-05,,,
514,1.50E-05,0.000280344,3.94E-05,,,
515,1.45E-05,0.000285746,3.76E-05,,,
516,1.37E-05,0.000290726,3.60E-05,,,
517,1.26E-05,0.000295472,3.44E-05,,,
518,1.12E-05,0.000299922,3.27E-05,,,
519,1.01E-05,0.000304048,3.11E-05,,,
520,9.00E-06,0.000307838,2.96E-05,,,
521,8.10E-06,0.000310984,2.81E-05,,,
522,7.60E-06,0.000313825,2.67E-05,,,
523,7.31E-06,0.000316387,2.55E-05,,,
524,7.33E-06,0.000318664,2.45E-05,,,
525,7.54E-06,0.000320614,2.36E-05,,,
526,7.64E-06,0.000322288,2.27E-05,,,
527,7.54E-06,0.000323608,2.17E-05,,,
528,7.42E-06,0.000324533,2.07E-05,,,
529,7.50E-06,0.00032506,1.96E-05,,,
530,8.08E-06,0.000325169,1.86E-05,,,
531,9.46E-06,0.000324998,1.78E-05,,,
532,1.17E-05,0.000324363,1.70E-05,,,
533,1.49E-05,0.000323249,1.64E-05,,,
534,1.86E-05,0.000321641,1.58E-05,,,
535,2.27E-05,0.000319495,1.54E-05,,,
536,2.69E-05,0.000317604,1.48E-05,,,
537,3.07E-05,0.000315339,1.42E-05,,,
538,3.37E-05,0.000312849,1.35E-05,,,
539,3.54E-05,0.000310332,1.29E-05,,,
540,3.55E-05,0.00030792,1.24E-05,,,
541,3.39E-05,0.000305191,1.19E-05,,,
542,3.11E-05,0.000302302,1.13E-05,,,
543,2.76E-05,0.000299076,1.09E-05,,,
544,2.37E-05,0.000295329,1.04E-05,,,
545,1.98E-05,0.000291074,1.00E-05,,,
546,1.64E-05,0.000286733,9.61E-06,,,
547,1.36E-05,0.000282239,9.28E-06,,,
548,1.18E-05,0.000277789,8.93E-06,,,
549,1.13E-05,0.000273453,8.66E-06,,,
550,1.16E-05,0.000269132,8.37E-06,,,
551,1.24E-05,0.000264621,8.09E-06,,,
552,1.33E-05,0.000259922,7.81E-06,,,
553,1.44E-05,0.000254999,7.56E-06,,,
554,1.52E-05,0.000249888,7.23E-06,,,
555,1.58E-05,0.000244625,6.99E-06,,,
556,1.60E-05,0.000239337,6.75E-06,,,
557,1.58E-05,0.000233986,6.50E-06,,,
558,1.52E-05,0.000228576,6.26E-06,,,
559,1.42E-05,0.000223076,6.02E-06,,,
560,1.31E-05,0.000217468,5.79E-06,,,
561,1.19E-05,0.000211936,5.54E-06,,,
562,1.07E-05,0.000206328,5.32E-06,,,
563,9.77E-06,0.000200704,5.11E-06,,,
564,9.01E-06,0.000195135,4.92E-06,,,
565,8.58E-06,0.000189694,4.78E-06,,,
566,8.48E-06,0.000184232,4.68E-06,,,
567,8.58E-06,0.000178816,4.56E-06,,,
568,8.68E-06,0.000173399,4.43E-06,,,
569,8.57E-06,0.000167928,4.25E-06,,,
570,8.34E-06,0.000162403,4.03E-06,,,
571,8.10E-06,0.000157038,3.80E-06,,,
572,7.77E-06,0.000151707,3.61E-06,,,
573,7.47E-06,0.000146463,3.47E-06,,,
574,7.35E-06,0.000141316,3.38E-06,,,
575,7.66E-06,0.000136264,3.31E-06,,,
576,8.71E-06,0.000131329,3.24E-06,,,
577,1.06E-05,0.000126488,3.13E-06,,,
578,1.38E-05,0.000121777,2.98E-06,,,
579,1.83E-05,0.000117247,2.85E-06,,,
580,2.46E-05,0.000112929,2.74E-06,,,
581,3.25E-05,0.000108509,2.70E-06,,,
582,4.18E-05,0.000104364,2.72E-06,,,
583,5.09E-05,0.000100405,2.78E-06,,,
584,5.83E-05,9.66E-05,2.84E-06,,,
585,6.24E-05,9.27E-05,2.86E-06,,,
586,6.35E-05,8.90E-05,2.82E-06,,,
587,6.39E-05,8.52E-05,2.76E-06,,,
588,6.62E-05,8.17E-05,2.69E-06,,,
589,7.27E-05,7.84E-05,2.62E-06,,,
590,8.43E-05,7.56E-05,2.59E-06,,,
591,9.84E-05,7.29E-05,2.57E-06,,,
592,0.000112873,7.03E-05,2.56E-06,,,
593,0.000124991,6.77E-05,2.53E-06,,,
594,0.000132897,6.50E-05,2.49E-06,,,
595,0.000135481,6.22E-05,2.42E-06,,,
596,0.00013189,5.96E-05,2.32E-06,,,
597,0.000120919,5.69E-05,2.17E-06,,,
598,0.000103287,5.43E-05,1.95E-06,,,
599,8.26E-05,5.19E-05,1.74E-06,,,
600,6.26E-05,4.95E-05,1.53E-06,,,
601,4.72E-05,4.73E-05,1.38E-06,,,
602,3.80E-05,4.51E-05,1.29E-06,,,
603,3.29E-05,4.30E-05,1.26E-06,,,
604,3.02E-05,4.10E-05,1.25E-06,,,
605,2.76E-05,3.90E-05,1.25E-06,,,
606,2.51E-05,3.71E-05,1.25E-06,,,
607,2.57E-05,3.54E-05,1.26E-06,,,
608,3.26E-05,3.37E-05,1.29E-06,,,
609,4.92E-05,3.25E-05,1.35E-06,,,
610,7.58E-05,3.15E-05,1.44E-06,,,
611,0.000109675,3.07E-05,1.59E-06,,,
612,0.000147422,3.00E-05,1.80E-06,,,
613,0.000185794,2.92E-05,2.10E-06,,,
614,0.000222324,2.84E-05,2.46E-06,,,
615,0.000255499,2.75E-05,2.82E-06,,,
616,0.000283129,2.66E-05,3.12E-06,,,
617,0.000304588,2.58E-05,3.33E-06,,,
618,0.000324376,2.50E-05,3.47E-06,,,
619,0.000352297,2.46E-05,3.66E-06,,,
620,0.000398392,2.43E-05,4.03E-06,,,
621,0.000469896,2.46E-05,4.68E-06,,,
622,0.00056358,2.49E-05,5.56E-06,,,
623,0.000665128,2.54E-05,6.53E-06,,,
624,0.000760151,2.58E-05,7.42E-06,,,
625,0.000834511,2.59E-05,8.05E-06,,,
626,0.000874546,2.54E-05,8.30E-06,,,
627,0.000869633,2.45E-05,8.28E-06,,,
628,0.000808388,2.30E-05,7.72E-06,,,
629,0.000684144,2.10E-05,6.73E-06,,,
630,0.00051929,1.87E-05,5.52E-06,,,
631,0.000346946,1.63E-05,4.19E-06,,,
632,0.000200616,1.40E-05,2.99E-06,,,
633,0.000105224,1.22E-05,2.08E-06,,,
634,5.40E-05,1.09E-05,1.47E-06,,,
635,3.20E-05,9.87E-06,1.10E-06,,,
636,2.45E-05,9.10E-06,9.00E-07,,,
637,2.06E-05,8.54E-06,8.19E-07,,,
638,1.81E-05,8.11E-06,8.04E-07,,,
639,1.65E-05,7.74E-06,8.07E-07,,,
640,1.53E-05,7.32E-06,7.55E-07,,,
641,1.42E-05,6.86E-06,6.53E-07,,,
642,1.32E-05,6.39E-06,5.24E-07,,,
643,1.22E-05,5.94E-06,4.01E-07,,,
644,1.13E-05,5.59E-06,3.23E-07,,,
645,1.04E-05,5.33E-06,2.97E-07,,,
646,9.69E-06,5.13E-06,3.04E-07,,,
647,9.05E-06,4.92E-06,3.20E-07,,,
648,8.57E-06,4.71E-06,3.27E-07,,,
649,8.23E-06,4.44E-06,3.21E-07,,,
650,8.04E-06,4.16E-06,3.07E-07,,,
651,8.01E-06,3.89E-06,2.95E-07,,,
652,8.10E-06,3.64E-06,2.90E-07,,,
653,8.28E-06,3.43E-06,2.96E-07,,,
654,8.44E-06,3.24E-06,3.18E-07,,,
655,8.54E-06,3.10E-06,3.58E-07,,,
656,8.55E-06,3.01E-06,4.14E-07,,,
657,8.45E-06,2.93E-06,4.61E-07,,,
658,8.21E-06,2.81E-06,4.71E-07,,,
659,7.89E-06,2.63E-06,4.15E-07,,,
660,7.47E-06,2.38E-06,2.91E-07,,,
661,7.00E-06,2.11E-06,1.50E-07,,,
662,6.51E-06,1.90E-06,4.00E-08,,,
663,6.03E-06,1.82E-06,6.00E-09,,,
664,5.65E-06,1.86E-06,5.24E-08,,,
665,5.41E-06,1.95E-06,1.34E-07,,,
666,5.38E-06,2.00E-06,1.94E-07,,,
667,5.63E-06,1.96E-06,2.01E-07,,,
668,6.09E-06,1.85E-06,1.71E-07,,,
669,6.61E-06,1.69E-06,1.46E-07,,,
670,7.09E-06,1.55E-06,1.72E-07,,,
671,7.40E-06,1.44E-06,2.68E-07,,,
672,7.53E-06,1.35E-06,3.87E-07,,,
673,7.46E-06,1.29E-06,4.71E-07,,,
674,7.18E-06,1.22E-06,4.67E-07,,,
675,6.73E-06,1.14E-06,3.62E-07,,,
676,6.21E-06,1.06E-06,2.04E-07,,,
677,5.77E-06,1.01E-06,5.00E-08,,,
678,5.54E-06,9.89E-07,-5.33E-08,,,
679,5.80E-06,9.81E-07,-6.86E-08,,,
680,6.95E-06,9.84E-07,-6.63E-08,,,
681,9.39E-06,9.75E-07,-4.18E-08,,,
682,1.32E-05,9.29E-07,3.20E-08,,,
683,1.77E-05,8.83E-07,1.27E-07,,,
684,2.20E-05,8.65E-07,2.37E-07,,,
685,2.52E-05,9.02E-07,3.57E-07,,,
686,2.69E-05,9.97E-07,4.69E-07,,,
687,2.70E-05,1.10E-06,5.38E-07,,,
688,2.59E-05,1.13E-06,5.29E-07,,,
689,2.35E-05,1.05E-06,4.12E-07,,,
690,2.06E-05,8.72E-07,2.23E-07,,,
691,1.82E-05,6.95E-07,2.90E-08,,,
692,1.70E-05,5.84E-07,-1.01E-07,,,
693,1.79E-05,5.88E-07,-1.19E-07,,,
694,1.99E-05,6.65E-07,-4.30E-08,,,
695,2.21E-05,7.50E-07,9.20E-08,,,
696,2.35E-05,7.82E-07,2.55E-07,,,
697,2.69E-05,7.92E-07,4.41E-07,,,
698,3.95E-05,8.76E-07,6.71E-07,,,
699,6.83E-05,1.14E-06,9.68E-07,,,
700,0.000118891,1.67E-06,1.35E-06,,,
701,0.000184785,2.42E-06,1.82E-06,,,
702,0.000254185,3.24E-06,2.34E-06,,,
703,0.000315283,4.00E-06,2.86E-06,,,
704,0.00035914,4.59E-06,3.36E-06,,,
705,0.000382691,4.96E-06,3.74E-06,,,
706,0.000383695,5.03E-06,3.91E-06,,,
707,0.000359986,4.77E-06,3.80E-06,,,
708,0.000315052,4.21E-06,3.41E-06,,,
709,0.000256196,3.49E-06,2.84E-06,,,
710,0.000190895,2.70E-06,2.17E-06,,,
711,0.00012653,1.96E-06,1.48E-06,,,
712,6.93E-05,1.33E-06,8.63E-07,,,
713,2.54E-05,8.58E-07,3.71E-07,,,
714,9.83E-07,5.86E-07,7.12E-08,,,
715,-2.15E-08,4.97E-07,-2.15E-08,,,
716,1.66E-07,5.12E-07,3.16E-08,,,
717,7.61E-06,5.05E-07,1.43E-07,,,
718,1.05E-05,3.69E-07,2.13E-07,,,
719,9.36E-06,1.70E-07,2.38E-07,,,
720,6.32E-06,-3.40E-09,2.10E-07,,,
721,3.85E-06,-6.02E-08,1.21E-07,,,
722,3.05E-06,1.73E-08,-6.40E-09,,,
723,3.33E-06,1.61E-07,-8.87E-08,,,
724,3.97E-06,2.93E-07,-8.96E-08,,,
725,4.32E-06,3.34E-07,4.84E-08,,,
726,4.26E-06,2.98E-07,2.68E-07,,,
727,3.91E-06,2.31E-07,4.54E-07,,,
728,3.32E-06,1.74E-07,4.94E-07,,,
729,2.62E-06,1.51E-07,3.63E-07,,,
730,1.95E-06,1.40E-07,1.51E-07,,,
731,1.40E-06,1.11E-07,-4.82E-08,,,
732,1.09E-06,4.54E-08,-8.76E-08,,,
733,9.99E-07,-2.92E-08,-0.000000101,,,
734,1.01E-06,-7.64E-08,-0.000000105,,,
735,1.04E-06,-5.66E-08,-8.79E-08,,,
736,1.04E-06,3.00E-08,-6.65E-08,,,
737,1.05E-06,1.42E-07,-3.23E-08,,,
738,1.08E-06,2.25E-07,-2.94E-09,,,
739,1.11E-06,2.02E-07,7.85E-08,,,
740,1.15E-06,1.19E-07,1.93E-07,,,
741,1.13E-06,2.14E-08,2.82E-07,,,
742,1.00E-06,-5.22E-08,2.86E-07,,,
743,7.85E-07,-5.42E-08,2.01E-07,,,
744,5.89E-07,-0.000000023,8.50E-08,,,
745,5.40E-07,1.25E-08,-3.20E-10,,,
746,7.22E-07,1.07E-07,-7.80E-09,,,
747,1.02E-06,1.97E-07,3.44E-08,,,
748,1.26E-06,2.45E-07,7.50E-08,,,
749,1.26E-06,2.10E-07,6.00E-08,,,
750,1.01E-06,9.90E-08,-1.20E-08,,,
751,6.89E-07,-2.70E-08,-9.26E-08,,,
752,4.97E-07,-1.08E-07,-1.31E-07,,,
753,5.67E-07,-9.43E-08,-8.83E-08,,,
754,7.98E-07,-2.20E-08,1.22E-08,,,
755,1.03E-06,7.42E-08,1.33E-07,,,
756,1.11E-06,1.39E-07,2.31E-07,,,
757,1.04E-06,1.70E-07,2.94E-07,,,
758,9.07E-07,1.73E-07,3.14E-07,,,
759,8.35E-07,1.45E-07,2.70E-07,,,
760,8.84E-07,8.57E-08,1.58E-07,,,
761,1.04E-06,1.76E-08,3.98E-08,,,
762,1.23E-06,-4.06E-08,-1.92E-08,,,
763,1.45E-06,-4.97E-08,3.13E-08,,,
764,1.61E-06,-3.22E-08,1.69E-07,,,
765,1.66E-06,-1.25E-08,3.20E-07,,,
766,1.51E-06,5.61E-08,4.00E-07,,,
767,1.19E-06,1.57E-07,3.65E-07,,,
768,7.91E-07,2.45E-07,2.87E-07,,,
769,4.95E-07,2.78E-07,2.35E-07,,,
770,4.01E-07,2.21E-07,2.60E-07,,,
771,4.73E-07,1.14E-07,3.46E-07,,,
772,6.19E-07,1.89E-08,4.51E-07,,,
773,7.45E-07,-5.00E-09,5.36E-07,,,
774,8.18E-07,4.52E-08,5.69E-07,,,
775,8.55E-07,1.13E-07,5.28E-07,,,
776,8.78E-07,1.37E-07,3.94E-07,,,
777,9.01E-07,8.77E-08,1.78E-07,,,
778,9.09E-07,1.00E-09,-2.27E-08,,,
779,9.01E-07,-7.03E-08,-8.82E-08,,,
780,8.43E-07,-6.78E-08,5.22E-08,,,
